1,ARAB/WEST ASIAN,Non Indigenous,MALE,47,Supervised,SR,DETERMINATE,979,QUEBEC,COMMON LAW,MUSLIM
2,WHITE,Non Indigenous,MALE,35,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,PROT NON-SPEC
3,WHITE,Non Indigenous,MALE,78,Incarcerated,,DETERMINATE,7670,ONTARIO,DIVORCED,ANGLICAN(EPIS.
4,METIS,Indigenous,MALE,39,Incarcerated,,DETERMINATE,730,SASKATCHEWAN,SEPARATED,NONE
5,WHITE,Non Indigenous,MALE,45,Incarcerated,,DETERMINATE,1403,NEW BRUNSWICK,DIVORCED,PENTECOSTAL ASS
6,WHITE,Non Indigenous,MALE,54,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,PROT NON-SPEC
7,BLACK,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,1660,ONTARIO,COMMON LAW,CHRI NON SPEC
8,LATIN AMERICAN,Non Indigenous,MALE,45,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,CATH NON-SPEC
9,WHITE,Non Indigenous,MALE,56,Supervised,FP,DETERMINATE,2372,BRITISH COLUMBIA,COMMON LAW,GREEK ORTHODOX
10,WHITE,Non Indigenous,MALE,54,Supervised,DP,INDETERMINATE,0,ONTARIO,COMMON LAW,CATHOLIC - ROMA
11,NORTH AMERICAN,Indigenous,MALE,32,Incarcerated,,DETERMINATE,2769,ALBERTA,COMMON LAW,NATIVE SPIRITUA
12,WHITE,Non Indigenous,MALE,45,Supervised,FP,INDETERMINATE,0,ONTARIO,SINGLE,CATH NON-SPEC
13,WHITE,Non Indigenous,MALE,31,Incarcerated,,DETERMINATE,730,ALBERTA,COMMON LAW,CATH NON-SPEC
14,METIS,Indigenous,MALE,35,Incarcerated,,DETERMINATE,1583,QUEBEC,COMMON LAW,CATH NON-SPEC
15,WHITE,Non Indigenous,MALE,56,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
16,WHITE,Non Indigenous,MALE,48,Supervised,FP,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
17,WHITE,Non Indigenous,MALE,29,Supervised,DP,DETERMINATE,2191,QUEBEC,COMMON LAW,SEVENTH DAY ADV
18,WHITE,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,1734,NOVA SCOTIA,SINGLE,NONE
19,WHITE,Non Indigenous,MALE,35,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,NONE
20,WHITE,Non Indigenous,MALE,65,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,COMMON LAW,CATH NON-SPEC
21,WHITE,Non Indigenous,MALE,56,Incarcerated,,DETERMINATE,1035,ALBERTA,DIVORCED,CATH NON-SPEC
22,BLACK,Non Indigenous,MALE,44,Incarcerated,,DETERMINATE,1614,ONTARIO,COMMON LAW,BAPTIST
23,WHITE,Non Indigenous,MALE,70,Supervised,FP,DETERMINATE,1642,QUEBEC,DIVORCED,CATH NON-SPEC
24,WHITE,Non Indigenous,MALE,24,Supervised,DP,DETERMINATE,1461,ONTARIO,SINGLE,CHRI NON SPEC
25,NORTH AMERICAN,Indigenous,MALE,26,Incarcerated,,DETERMINATE,1172,ALBERTA,SINGLE,NATIVE SPIRITUA
26,METIS,Indigenous,MALE,35,Incarcerated,,DETERMINATE,730,ALBERTA,SINGLE,CATH NON-SPEC
27,WHITE,Non Indigenous,MALE,27,Supervised,DP,DETERMINATE,4749,ALBERTA,SINGLE,OTHER
28,NORTH AMERICAN,Indigenous,MALE,28,Incarcerated,,INDETERMINATE,0,ONTARIO,COMMON LAW,CHRISTIAN REFOR
29,WHITE,Non Indigenous,MALE,28,Supervised,SR,DETERMINATE,730,ONTARIO,SINGLE,CATH NON-SPEC
30,WHITE,Non Indigenous,MALE,22,Incarcerated,,DETERMINATE,730,ALBERTA,SINGLE,CATH NON-SPEC
31,NORTH AMERICAN,Indigenous,MALE,50,Supervised,FP,INDETERMINATE,0,ALBERTA,SINGLE,CATH NON-SPEC
32,NORTH AMERICAN,Indigenous,FEMALE,38,Incarcerated,,DETERMINATE,1522,ALBERTA,COMMON LAW,NATIVE SPIRITUA
33,WHITE,Non Indigenous,MALE,70,Supervised,FP,INDETERMINATE,0,SASKATCHEWAN,SINGLE,PROT NON-SPEC
34,NORTH AMERICAN,Indigenous,MALE,32,Incarcerated,,DETERMINATE,1642,BRITISH COLUMBIA,COMMON LAW,NATIVE SPIRITUA
35,METIS,Indigenous,MALE,47,Incarcerated,,INDETERMINATE,0,QUEBEC,COMMON LAW,CATH NON-SPEC
36,NORTH AMERICAN,Indigenous,MALE,26,Incarcerated,,DETERMINATE,884,ALBERTA,COMMON LAW,NATIVE SPIRITUA
37,ASIAN-SOUTH,Non Indigenous,MALE,38,Incarcerated,,DETERMINATE,730,BRITISH COLUMBIA,MARRIED,
38,WHITE,Non Indigenous,MALE,76,Supervised,SR,DETERMINATE,3347,QUEBEC,MARRIED,CATH NON-SPEC
39,WHITE,Non Indigenous,MALE,56,Supervised,FP,INDETERMINATE,0,QUEBEC,WIDOW(ER),CATH NON-SPEC
40,BLACK,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,1642,ONTARIO,SINGLE,SEVENTH DAY ADV
41,WHITE,Non Indigenous,MALE,35,Incarcerated,,DETERMINATE,1187,QUEBEC,SINGLE,CATH NON-SPEC
42,WHITE,Non Indigenous,MALE,41,Incarcerated,,DETERMINATE,1682,ALBERTA,COMMON LAW,
43,ARAB,Non Indigenous,MALE,25,Incarcerated,,DETERMINATE,757,NOVA SCOTIA,COMMON LAW,MUSLIM
44,WHITE,Non Indigenous,MALE,45,Incarcerated,,DETERMINATE,1066,QUEBEC,COMMON LAW,CATH NON-SPEC
45,WHITE,Non Indigenous,MALE,56,Supervised,FP,DETERMINATE,1461,NFLD AND LAB,SEPARATED,CATH NON-SPEC
46,NORTH AMERICAN,Indigenous,MALE,22,Incarcerated,,DETERMINATE,934,NEW BRUNSWICK,SINGLE,SALVATION ARMY
47,WHITE,Non Indigenous,MALE,33,Supervised,DP,DETERMINATE,1095,MANITOBA,SINGLE,CATHOLIC - ROMA
48,WHITE,Non Indigenous,MALE,64,Incarcerated,,DETERMINATE,2832,QUEBEC,SINGLE,CATHOLIC - ROMA
49,WHITE,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,2008,ONTARIO,SINGLE,CHRISTIAN REFOR
50,WHITE,Non Indigenous,MALE,33,Incarcerated,,DETERMINATE,1095,ONTARIO,SINGLE,NONE
51,WHITE,Non Indigenous,MALE,45,Supervised,SR,DETERMINATE,2252,ONTARIO,MARRIED,BAPTIST
52,NORTH AMERICAN,Indigenous,MALE,36,Supervised,SR,DETERMINATE,1826,MANITOBA,SINGLE,NONE
53,CHINESE,Non Indigenous,FEMALE,36,Supervised,FP,DETERMINATE,3652,ONTARIO,COMMON LAW,CHRISTIAN & MIS
54,WHITE,Non Indigenous,MALE,32,Incarcerated,,INDETERMINATE,0,ONTARIO,DIVORCED,PAGAN
55,WHITE,Non Indigenous,MALE,24,Incarcerated,,DETERMINATE,1350,QUEBEC,SINGLE,CATH NON-SPEC
56,NORTH AMERICAN,Indigenous,MALE,28,Incarcerated,,DETERMINATE,1461,BRITISH COLUMBIA,COMMON LAW,NATIVE SPIRITUA
57,WHITE,Non Indigenous,MALE,43,Incarcerated,,DETERMINATE,1306,ALBERTA,SINGLE,ATHEIST
58,WHITE,Non Indigenous,MALE,67,Supervised,FP,INDETERMINATE,0,ONTARIO,WIDOW(ER),CATH NON-SPEC
59,WHITE,Non Indigenous,MALE,53,Incarcerated,,INDETERMINATE,0,ONTARIO,MARRIED,CATH NON-SPEC
60,NORTH AMERICAN,Indigenous,MALE,65,Incarcerated,,DETERMINATE,1218,QUEBEC,DIVORCED,CATH NON-SPEC
61,INUIT,Indigenous,MALE,31,Incarcerated,,DETERMINATE,2314,QUEBEC,SINGLE,ANGLICAN(EPIS.
62,NORTH AMERICAN,Indigenous,MALE,32,Incarcerated,,DETERMINATE,2124,SASKATCHEWAN,COMMON LAW,CATHOLIC - ROMA
63,WHITE,Non Indigenous,MALE,40,Incarcerated,,DETERMINATE,2557,NOVA SCOTIA,SINGLE,NONE
64,WHITE,Non Indigenous,MALE,65,Incarcerated,,INDETERMINATE,0,ONTARIO,MARRIED,CHRISTIAN REFOR
65,WHITE,Non Indigenous,MALE,59,Incarcerated,,INDETERMINATE,0,QUEBEC,DIVORCED,CATH NON-SPEC
66,WHITE,Non Indigenous,MALE,53,Supervised,DP,DETERMINATE,730,NOVA SCOTIA,DIVORCED,PENTECOSTAL ASS
67,BLACK,Non Indigenous,MALE,58,Supervised,FP,DETERMINATE,1826,QUEBEC,MARRIED,CATH NON-SPEC
68,METIS,Indigenous,MALE,24,Incarcerated,,DETERMINATE,1583,ONTARIO,COMMON LAW,NATIVE SPIRITUA
69,WHITE,Non Indigenous,MALE,43,Incarcerated,,DETERMINATE,2922,QUEBEC,COMMON LAW,CATH NON-SPEC
70,WHITE,Non Indigenous,MALE,23,Incarcerated,,DETERMINATE,2436,QUEBEC,UNKNOWN,CATH NON-SPEC
71,WHITE,Non Indigenous,MALE,56,Supervised,SR,DETERMINATE,1188,QUEBEC,DIVORCED,CATH NON-SPEC
72,EURO.-SOUTHERN,Non Indigenous,MALE,74,Incarcerated,,INDETERMINATE,0,ONTARIO,WIDOW(ER),CATHOLIC - ROMA
73,BLACK,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,2221,ALBERTA,SINGLE,NONE
74,WHITE,Non Indigenous,FEMALE,21,Incarcerated,,DETERMINATE,1277,ONTARIO,SINGLE,CHRI NON SPEC
75,BLACK,Non Indigenous,MALE,32,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,MUSLIM
76,WHITE,Non Indigenous,MALE,57,Incarcerated,,INDETERMINATE,0,QUEBEC,DIVORCED,NONE
77,NORTH AMERICAN,Indigenous,MALE,59,Incarcerated,,DETERMINATE,730,QUEBEC,COMMON LAW,
78,NORTH AMERICAN,Indigenous,MALE,45,Incarcerated,,DETERMINATE,1074,ALBERTA,SINGLE,NOT STATED
79,WHITE,Non Indigenous,MALE,24,Supervised,DP,DETERMINATE,730,NEW BRUNSWICK,SINGLE,NONE
80,BLACK,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,1095,ALBERTA,SINGLE,CATHOLIC - ROMA
81,WHITE,Non Indigenous,MALE,39,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,CATHOLIC - ROMA
82,NORTH AMERICAN,Indigenous,MALE,60,Supervised,FP,INDETERMINATE,0,BRITISH COLUMBIA,MARRIED,CATH NON-SPEC
83,WHITE,Non Indigenous,MALE,38,Supervised,FP,DETERMINATE,2891,ALBERTA,SINGLE,CATHOLIC - ROMA
84,WHITE,Non Indigenous,MALE,49,Supervised,FP,INDETERMINATE,0,ONTARIO,MARRIED,OTHER
85,NORTH AMERICAN,Indigenous,MALE,41,Incarcerated,,DETERMINATE,8401,ONTARIO,COMMON LAW,NATIVE SPIRITUA
86,WHITE,Non Indigenous,MALE,40,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,CHRISTIAN REFOR
87,BLACK,Non Indigenous,MALE,33,Supervised,DP,DETERMINATE,3500,ONTARIO,MARRIED,OTHER
88,S. E. ASIAN,Non Indigenous,MALE,29,Supervised,SR,DETERMINATE,971,ONTARIO,SINGLE,NONE
89,S. E. ASIAN,Non Indigenous,MALE,43,Incarcerated,,DETERMINATE,2010,BRITISH COLUMBIA,SINGLE,NONE
90,WHITE,Non Indigenous,MALE,24,Supervised,SR,DETERMINATE,1128,QUEBEC,COMMON LAW,CATH NON-SPEC
91,WHITE,Non Indigenous,MALE,47,Incarcerated,,DETERMINATE,860,ALBERTA,SEPARATED,NONE
